basis,factor,alpha,alpha_morozov,E2,residual
B-spline,3.1622776601683795,0.0025864918490474823,0.0008179205392450457,0.010102080384115714,0.0027638338971562233
B-spline,4.6415888336127775,0.003796450841742346,0.0008179205392450457,0.010970881608894235,0.004003478589396147
B-spline,6.812920690579608,0.005572427765072602,0.0008179205392450457,0.01232904866366782,0.005827728132082064
B-spline,10.0,0.008179205392450458,0.0008179205392450457,0.014419428563319563,0.008499827007998761
B-spline,14.67799267622069,0.012005431684769259,0.0008179205392450457,0.017645086436158156,0.012399583874436848
B-spline,21.54434690031882,0.0176215638343911,0.0008179205392450457,0.022607876805057013,0.01806944627016339
B-spline,31.622776601683793,0.02586491849047482,0.0008179205392450457,0.03013842610645478,0.026273463667076145
B-spline,46.41588833612777,0.03796450841742346,0.0008179205392450457,0.04133635109372022,0.038066525798053016
B-spline,68.12920690579608,0.055724277650726024,0.0008179205392450457,0.05763073494256724,0.05486238530249093
B-spline,100.0,0.08179205392450457,0.0008179205392450457,0.08082738601734292,0.07847187627675664
LLMW,0.01,8.172527414800031e-06,0.000817252741480003,0.03912909782561635,0.00046021017884825474
LLMW,0.014677992676220698,1.1995629754064773e-05,0.000817252741480003,0.032078367333138014,0.00046597688071602653
LLMW,0.021544346900318832,1.760717656768177e-05,0.000817252741480003,0.02715798765967883,0.00047097130550429
LLMW,0.03162277660168379,2.584380087093577e-05,0.000817252741480003,0.02364234531225795,0.00047563575176379506
LLMW,0.046415888336127774,3.793351199093012e-05,0.000817252741480003,0.020937116826299413,0.0004805927825419267
LLMW,0.06812920690579612,5.567878111862023e-05,0.000817252741480003,0.018651625886660018,0.0004867318070640204
LLMW,0.1,8.17252741480003e-05,0.000817252741480003,0.016592516333829226,0.0004954428639252206
LLMW,0.1467799267622069,0.00011995629754064767,0.000817252741480003,0.014712028044408687,0.0005091680959834606
LLMW,0.21544346900318834,0.00017607176567681771,0.000817252741480003,0.013042099553192922,0.0005325516511056026
LLMW,0.31622776601683794,0.0002584380087093577,0.000817252741480003,0.011636473817558718,0.0005744168516140141
LLMW,0.46415888336127775,0.0003793351199093012,0.000817252741480003,0.010536804271267481,0.0006502948625677251
LLMW,0.6812920690579611,0.0005567878111862023,0.000817252741480003,0.009764422991912802,0.0007843560249078662
LLMW,1.0,0.000817252741480003,0.000817252741480003,0.009324310123054555,0.0010099657556233372
LLMW,1.467799267622069,0.0011995629754064764,0.000817252741480003,0.00920935354477193,0.0013709227560421762
LLMW,2.154434690031882,0.001760717656768176,0.000817252741480003,0.009408152698350778,0.0019266548137772267
LLMW,3.1622776601683795,0.0025843800870935774,0.000817252741480003,0.009924705146347171,0.0027619528578354743
LLMW,4.6415888336127775,0.003793351199093012,0.000817252741480003,0.010807715903357256,0.004000544521379433
LLMW,6.812920690579608,0.00556787811186202,0.000817252741480003,0.012183455836986745,0.00582330957006363
